poi_id,xcoord,ycoord,sm13,post_code,sic_1,sic_2,sic_3,sic_4,sic_5,sic_6,naics_1,naics_2,naics_3,naics_4,naics_5
POI3085856,307861.0201,5049380.994,309,J4B 2X7,75490000,0,0,0,0,0,48841,0,0,0,0
POI3083919,308628.3294,5047511.779,309,J4N 1B8,24340000,0,0,0,0,0,0,0,0,0,0
POI3083004,312142.9822,5048228.001,309,J4B 5E4,53990000,0,0,0,0,0,45299,0,0,0,0
POI4360236,308610.9855,5051326.999,309,J4B 6T3,15210000,17990000,0,0,0,0,0,0,0,0,0
POI3937263,307690.0219,5049607.956,309,J4B 2X5,55310000,0,0,0,0,0,0,0,0,0,0
POI3082114,309386.9981,5046993.035,309,J4B 6G6,50510000,0,0,0,0,0,42151,0,0,0,0
POI4360665,311425.9782,5049901.963,309,J4B 8P8,80410000,0,0,0,0,0,62131,0,0,0,0
POI3937194,308020.0232,5048223.968,309,J4G 1P1,50910000,17110000,0,0,0,0,0,0,0,0,0
POI3936808,308945.5257,5048475.612,309,J4B 6G4,58120000,0,0,0,0,0,72211,0,0,0,0
POI5103328,308453.9984,5051516.053,309,J4B 5M4,80930000,0,0,0,0,0,621498,62133,0,0,0
POI4411652,309979.0209,5050117.973,309,J4B 6P5,60210000,50440000,61410000,62820000,61620000,0,0,0,0,0,0
POI3085457,310530.9631,5050802.029,309,J4B 8G7,7820000,0,0,0,0,0,56173,0,0,0,0
POI4143119,309937.0414,5048219.024,309,J4B 7T6,73890000,35650000,0,0,0,0,56191,333993,0,0,0
POI1219259,309761.02,5047459.962,309,J4B 5H2,50630000,15420000,50320000,52110000,0,0,0,0,0,0,0
POI2843626,309709.0074,5046596.983,309,J4B 7L9,54110000,0,0,0,0,0,44511,0,0,0,0
POI3085436,309603.0133,5046872.952,309,J4B 7H5,7820000,16110000,0,0,0,0,56173,23411,0,0,0
POI4964362,309041.9983,5048431.949,309,J4B 5M7,58120000,0,0,0,0,0,0,0,0,0,0
POI4362072,308605.9611,5048685.05,309,J4B 2X4,73730000,0,0,0,0,0,541512,0,0,0,0
POI3936121,310473.0354,5046281.014,309,J4B 8A3,29920000,0,0,0,0,0,324191,0,0,0,0
POI1219166,309918.0147,5050297.957,309,J4B 5E4,47240000,0,0,0,0,0,56151,0,0,0,0
POI4148725,311493.0368,5047973.003,309,J4B 7L4,59120000,0,0,0,0,0,44611,0,0,0,0
POI5145576,309524.0097,5052355.043,309,J4B 8H2,58120000,0,0,0,0,0,0,0,0,0,0
POI1220046,310405.9933,5046082.028,309,J4B 7Y4,51490000,0,0,0,0,0,0,0,0,0,0
POI1219149,308514.0011,5052540.953,309,J4B 4W7,83610000,0,0,0,0,0,0,0,0,0,0
POI3356659,310743.0324,5048970.989,309,J4B 8A5,51360000,87420000,0,0,0,0,42232,541613,0,0,0
POI1219561,309086.9712,5054892.003,309,J4B 6K2,32530000,0,0,0,0,0,0,0,0,0,0
POI5102077,310265.9731,5046476.978,309,J4B 7L6,50840000,0,0,0,0,0,42183,0,0,0,0
POI4966004,311493.0368,5047973.003,309,J4B 7L4,87420000,0,0,0,0,0,0,0,0,0,0
POI5183402,312142.9822,5048228.001,309,J4B 5E4,56320000,56510000,56210000,0,0,0,0,0,0,0,0
POI3355750,312257.9813,5047936.971,309,J4B 8S5,57190000,53110000,57120000,0,0,0,442299,45211,44211,0,0
POI1219835,310647.0171,5045906.994,309,J4B 8C4,27890000,0,0,0,0,0,0,0,0,0,0
POI1218837,308839.0033,5049519.02,309,J4B 1G6,83510000,0,0,0,0,0,62441,0,0,0,0
POI4146688,308877.9884,5048607.984,309,J4B 6G4,58120000,67940000,0,0,0,0,72211,53311,0,0,0
POI1218994,308648.036,5050826.037,309,J4B 2E9,15210000,0,0,0,0,0,0,0,0,0,0
POI4920318,310283.0016,5046287.958,309,J4B 6Z5,75380000,55990000,0,0,0,0,811111,441229,0,0,0
POI4852137,308448.9795,5047545.965,309,J4N 1B8,17710000,52510000,0,0,0,0,0,0,0,0,0
POI4966884,308453.9984,5051516.053,309,J4B 5M4,80410000,0,0,0,0,0,0,0,0,0,0
POI4966546,308877.9884,5048607.984,309,J4B 6G4,60210000,0,0,0,0,0,52211,0,0,0,0
POI4987441,308958.9972,5047903.016,309,J4B 5L2,53110000,0,0,0,0,0,0,0,0,0,0
POI3935011,311080.5673,5047635.898,309,J4B 5H3,42120000,0,0,0,0,0,562119,23332,0,0,0
POI2846315,308477.9684,5051478.949,309,J4B 6N1,80490000,0,0,0,0,0,62133,0,0,0,0
POI4407707,309170.9951,5047554.985,309,J4B 7A2,75130000,0,0,0,0,0,53212,0,0,0,0
POI3936103,309041.9983,5048431.949,309,J4B 5M7,59210000,0,0,0,0,0,44531,0,0,0,0
